Cell,Original Cluster,Cluster Nr
Cell4879_1,Group5,5
Cell4880_1,Group2,2
Cell4881_1,Group5,5
Cell4882_1,Group5,5
Cell4883_1,Group4,4
Cell4884_1,Group4,4
Cell4885_1,Group2,2
Cell4886_1,Group2,2
Cell4887_1,Group3,3
Cell4888_1,Group1,1
Cell4889_1,Group2,2
Cell4890_1,Group4,4
Cell4891_1,Group3,3
Cell4892_1,Group1,1
Cell4893_1,Group3,3
Cell4894_1,Group4,4
Cell4895_1,Group5,5
Cell4896_1,Group1,1
Cell4897_1,Group2,2
Cell4898_1,Group4,4
Cell4899_1,Group1,1
Cell4900_1,Group1,1
Cell4901_1,Group2,2
Cell4902_1,Group4,4
Cell4903_1,Group2,2
Cell4904_1,Group5,5
Cell4905_1,Group3,3
Cell4906_1,Group1,1
Cell4907_1,Group5,5
Cell4908_1,Group4,4
Cell4909_1,Group4,4
Cell4910_1,Group1,1
Cell4911_1,Group5,5
Cell4912_1,Group4,4
Cell4913_1,Group3,3
Cell4914_1,Group2,2
Cell4915_1,Group3,3
Cell4916_1,Group1,1
Cell4917_1,Group2,2
Cell4918_1,Group3,3
Cell4919_1,Group2,2
Cell4920_1,Group1,1
Cell4921_1,Group2,2
Cell4922_1,Group3,3
Cell4923_1,Group5,5
Cell4924_1,Group1,1
Cell4925_1,Group5,5
Cell4926_1,Group5,5
Cell4927_1,Group4,4
Cell4928_1,Group3,3
Cell4929_1,Group1,1
Cell4930_1,Group4,4
Cell4931_1,Group3,3
Cell4932_1,Group1,1
Cell4933_1,Group1,1
Cell4934_1,Group3,3
Cell4935_1,Group4,4
Cell4936_1,Group3,3
Cell4937_1,Group5,5
Cell4938_1,Group2,2
Cell4939_1,Group5,5
Cell4940_1,Group4,4
Cell4941_1,Group5,5
Cell4942_1,Group3,3
Cell4943_1,Group4,4
Cell4944_1,Group3,3
Cell4945_1,Group3,3
Cell4946_1,Group5,5
Cell4947_1,Group2,2
Cell4948_1,Group5,5
Cell4949_1,Group3,3
Cell4950_1,Group3,3
Cell4951_1,Group1,1
Cell4952_1,Group5,5
Cell4953_1,Group2,2
Cell4954_1,Group4,4
Cell4955_1,Group1,1
Cell4956_1,Group4,4
Cell4957_1,Group3,3
Cell4958_1,Group4,4
Cell4959_1,Group2,2
Cell4960_1,Group2,2
Cell4961_1,Group1,1
Cell4962_1,Group2,2
Cell4963_1,Group5,5
Cell4964_1,Group5,5
Cell4965_1,Group3,3
Cell4966_1,Group3,3
Cell4967_1,Group3,3
Cell4968_1,Group3,3
Cell4969_1,Group2,2
Cell4970_1,Group2,2
Cell4971_1,Group1,1
Cell4972_1,Group2,2
Cell4973_1,Group5,5
Cell4974_1,Group2,2
Cell4975_1,Group2,2
Cell4976_1,Group3,3
Cell4977_1,Group3,3
Cell4978_1,Group1,1
Cell4979_1,Group5,5
Cell4980_1,Group4,4
Cell4981_1,Group4,4
Cell4982_1,Group4,4
Cell4983_1,Group5,5
Cell4984_1,Group1,1
Cell4985_1,Group4,4
Cell4986_1,Group2,2
Cell4987_1,Group1,1
Cell4988_1,Group1,1
Cell4989_1,Group1,1
Cell4990_1,Group3,3
Cell4991_1,Group2,2
Cell4992_1,Group2,2
Cell4993_1,Group5,5
Cell4994_1,Group4,4
Cell4995_1,Group1,1
Cell4996_1,Group4,4
Cell4997_1,Group2,2
Cell4998_1,Group5,5
Cell4999_1,Group2,2
Cell5000_1,Group5,5
Cell1_2,Path5,10
Cell2_2,Path4,9
Cell3_2,Path5,10
Cell4_2,Path2,7
Cell5_2,Path1,6
Cell6_2,Path2,7
Cell7_2,Path2,7
Cell8_2,Path1,6
Cell9_2,Path4,9
Cell10_2,Path5,10
Cell11_2,Path3,8
Cell12_2,Path4,9
Cell13_2,Path4,9
Cell14_2,Path5,10
Cell15_2,Path3,8
Cell16_2,Path5,10
Cell17_2,Path2,7
Cell18_2,Path1,6
Cell19_2,Path3,8
Cell20_2,Path2,7
Cell21_2,Path3,8
Cell22_2,Path3,8
Cell23_2,Path5,10
Cell24_2,Path4,9
Cell25_2,Path4,9
Cell26_2,Path1,6
Cell27_2,Path5,10
Cell28_2,Path1,6
Cell29_2,Path5,10
Cell30_2,Path2,7
Cell31_2,Path2,7
Cell32_2,Path3,8
Cell33_2,Path3,8
Cell34_2,Path3,8
Cell35_2,Path1,6
Cell36_2,Path3,8
Cell37_2,Path2,7
Cell38_2,Path3,8
Cell39_2,Path5,10
Cell40_2,Path1,6
Cell41_2,Path2,7
Cell42_2,Path2,7
Cell43_2,Path1,6
Cell44_2,Path5,10
Cell45_2,Path3,8
Cell46_2,Path5,10
Cell47_2,Path4,9
Cell48_2,Path1,6
Cell49_2,Path2,7
Cell50_2,Path4,9
Cell51_2,Path2,7
Cell52_2,Path3,8
Cell53_2,Path1,6
Cell54_2,Path4,9
Cell55_2,Path5,10
Cell56_2,Path5,10
Cell57_2,Path4,9
Cell58_2,Path5,10
Cell59_2,Path4,9
Cell60_2,Path5,10
Cell61_2,Path1,6
Cell62_2,Path2,7
Cell63_2,Path5,10
Cell64_2,Path1,6
Cell65_2,Path2,7
Cell66_2,Path2,7
Cell67_2,Path4,9
Cell68_2,Path4,9
Cell69_2,Path3,8
Cell70_2,Path4,9
Cell71_2,Path1,6
Cell72_2,Path2,7
Cell73_2,Path1,6
Cell74_2,Path3,8
Cell75_2,Path4,9
Cell76_2,Path2,7
Cell77_2,Path1,6
Cell78_2,Path5,10
Cell79_2,Path5,10
Cell80_2,Path2,7
Cell81_2,Path1,6
Cell82_2,Path2,7
Cell83_2,Path2,7
Cell84_2,Path2,7
Cell85_2,Path1,6
Cell86_2,Path5,10
Cell87_2,Path1,6
Cell88_2,Path1,6
Cell89_2,Path5,10
Cell90_2,Path5,10
Cell91_2,Path1,6
Cell92_2,Path1,6
Cell93_2,Path3,8
Cell94_2,Path5,10
Cell95_2,Path3,8
Cell96_2,Path5,10
Cell97_2,Path1,6
Cell98_2,Path2,7
Cell99_2,Path5,10
Cell100_2,Path4,9
Cell101_2,Path2,7
Cell102_2,Path1,6
Cell103_2,Path4,9
Cell104_2,Path4,9
Cell105_2,Path5,10
Cell106_2,Path4,9
Cell107_2,Path1,6
Cell108_2,Path5,10
Cell109_2,Path3,8
Cell110_2,Path4,9
Cell111_2,Path4,9
Cell112_2,Path3,8
Cell113_2,Path1,6
Cell114_2,Path4,9
Cell115_2,Path3,8
Cell116_2,Path4,9
Cell117_2,Path4,9
Cell118_2,Path2,7
Cell119_2,Path4,9
Cell120_2,Path4,9
Cell121_2,Path3,8
Cell122_2,Path2,7
Cell123_2,Path4,9
Cell124_2,Path3,8
Cell125_2,Path3,8
Cell126_2,Path1,6
Cell127_2,Path5,10
Cell128_2,Path3,8
Cell129_2,Path2,7
Cell130_2,Path5,10
Cell131_2,Path1,6
Cell132_2,Path5,10
Cell133_2,Path2,7
Cell134_2,Path5,10
Cell135_2,Path5,10
Cell136_2,Path1,6
Cell137_2,Path4,9
Cell138_2,Path1,6
Cell139_2,Path3,8
Cell140_2,Path3,8
Cell141_2,Path3,8
Cell142_2,Path4,9
Cell143_2,Path4,9
Cell144_2,Path4,9
Cell145_2,Path3,8
Cell146_2,Path5,10
Cell147_2,Path2,7
Cell148_2,Path2,7
Cell149_2,Path1,6
Cell150_2,Path3,8
Cell151_2,Path2,7
Cell152_2,Path3,8
Cell153_2,Path4,9
Cell154_2,Path4,9
Cell155_2,Path1,6
Cell156_2,Path3,8
Cell157_2,Path4,9
Cell158_2,Path2,7
Cell159_2,Path4,9
Cell160_2,Path5,10
Cell161_2,Path2,7
Cell162_2,Path1,6
Cell163_2,Path4,9
Cell164_2,Path2,7
Cell165_2,Path1,6
Cell166_2,Path2,7
Cell167_2,Path1,6
Cell168_2,Path3,8
Cell169_2,Path1,6
Cell170_2,Path1,6
Cell171_2,Path5,10
Cell172_2,Path5,10
Cell173_2,Path4,9
Cell174_2,Path2,7
Cell175_2,Path5,10
Cell176_2,Path1,6
Cell177_2,Path1,6
Cell178_2,Path2,7
Cell179_2,Path4,9
Cell180_2,Path5,10
Cell181_2,Path3,8
Cell182_2,Path1,6
Cell183_2,Path1,6
Cell184_2,Path2,7
Cell185_2,Path5,10
Cell186_2,Path2,7
Cell187_2,Path4,9
Cell188_2,Path5,10
Cell189_2,Path5,10
Cell190_2,Path2,7
Cell191_2,Path5,10
Cell192_2,Path2,7
Cell193_2,Path5,10
Cell194_2,Path4,9
Cell195_2,Path4,9
Cell196_2,Path1,6
Cell197_2,Path1,6
Cell198_2,Path5,10
Cell199_2,Path2,7
Cell200_2,Path5,10
Cell201_2,Path3,8
Cell202_2,Path3,8
Cell203_2,Path5,10
Cell204_2,Path3,8
Cell205_2,Path3,8
Cell206_2,Path5,10
Cell207_2,Path5,10
Cell208_2,Path3,8
Cell209_2,Path3,8
Cell210_2,Path2,7
Cell211_2,Path1,6
Cell212_2,Path3,8
Cell213_2,Path5,10
Cell214_2,Path2,7
Cell215_2,Path1,6
Cell216_2,Path3,8
Cell217_2,Path2,7
Cell218_2,Path3,8
Cell219_2,Path3,8
Cell220_2,Path3,8
Cell221_2,Path4,9
Cell222_2,Path3,8
Cell223_2,Path1,6
Cell224_2,Path4,9
Cell225_2,Path4,9
Cell226_2,Path1,6
Cell227_2,Path3,8
Cell228_2,Path5,10
Cell229_2,Path3,8
Cell230_2,Path2,7
Cell231_2,Path2,7
Cell232_2,Path5,10
Cell233_2,Path5,10
Cell234_2,Path5,10
Cell235_2,Path1,6
Cell236_2,Path5,10
Cell237_2,Path1,6
Cell238_2,Path1,6
Cell239_2,Path5,10
Cell240_2,Path1,6
Cell241_2,Path2,7
Cell242_2,Path1,6
Cell243_2,Path1,6
Cell244_2,Path1,6
Cell245_2,Path3,8
Cell246_2,Path1,6
Cell247_2,Path3,8
Cell248_2,Path4,9
Cell249_2,Path4,9
Cell250_2,Path2,7
Cell251_2,Path5,10
Cell252_2,Path2,7
Cell253_2,Path2,7
Cell254_2,Path3,8
Cell255_2,Path1,6
Cell256_2,Path4,9
Cell257_2,Path5,10
Cell258_2,Path3,8
Cell259_2,Path4,9
Cell260_2,Path5,10
Cell261_2,Path1,6
Cell262_2,Path2,7
Cell263_2,Path4,9
Cell264_2,Path5,10
Cell265_2,Path2,7
Cell266_2,Path2,7
Cell267_2,Path1,6
Cell268_2,Path3,8
Cell269_2,Path3,8
Cell270_2,Path3,8
Cell271_2,Path1,6
Cell272_2,Path1,6
Cell273_2,Path2,7
Cell274_2,Path2,7
Cell275_2,Path5,10
Cell276_2,Path2,7
Cell277_2,Path3,8
Cell278_2,Path1,6
Cell279_2,Path2,7
Cell280_2,Path4,9
Cell281_2,Path4,9
Cell282_2,Path1,6
Cell283_2,Path5,10
Cell284_2,Path1,6
Cell285_2,Path4,9
Cell286_2,Path3,8
Cell287_2,Path5,10
Cell288_2,Path3,8
Cell289_2,Path3,8
Cell290_2,Path1,6
Cell291_2,Path2,7
Cell292_2,Path1,6
Cell293_2,Path3,8
Cell294_2,Path2,7
Cell295_2,Path2,7
Cell296_2,Path1,6
Cell297_2,Path4,9
Cell298_2,Path5,10
Cell299_2,Path5,10
Cell300_2,Path3,8
Cell301_2,Path2,7
Cell302_2,Path1,6
Cell303_2,Path3,8
Cell304_2,Path2,7
Cell305_2,Path3,8
Cell306_2,Path2,7
Cell307_2,Path5,10
Cell308_2,Path2,7
Cell309_2,Path1,6
Cell310_2,Path4,9
Cell311_2,Path3,8
Cell312_2,Path5,10
Cell313_2,Path2,7
Cell314_2,Path1,6
Cell315_2,Path5,10
Cell316_2,Path4,9
Cell317_2,Path5,10
Cell318_2,Path2,7
Cell319_2,Path3,8
Cell320_2,Path1,6
Cell321_2,Path5,10
Cell322_2,Path2,7
Cell323_2,Path5,10
Cell324_2,Path3,8
Cell325_2,Path1,6
Cell326_2,Path2,7
Cell327_2,Path4,9
Cell328_2,Path2,7
Cell329_2,Path4,9
Cell330_2,Path5,10
Cell331_2,Path5,10
Cell332_2,Path4,9
Cell333_2,Path5,10
Cell334_2,Path3,8
Cell335_2,Path4,9
Cell336_2,Path1,6
Cell337_2,Path5,10
Cell338_2,Path2,7
Cell339_2,Path5,10
Cell340_2,Path3,8
Cell341_2,Path2,7
Cell342_2,Path3,8
Cell343_2,Path1,6
Cell344_2,Path5,10
Cell345_2,Path3,8
Cell346_2,Path4,9
Cell347_2,Path2,7
Cell348_2,Path1,6
Cell349_2,Path2,7
Cell350_2,Path2,7
Cell351_2,Path1,6
Cell352_2,Path5,10
Cell353_2,Path4,9
Cell354_2,Path5,10
Cell355_2,Path1,6
Cell356_2,Path1,6
Cell357_2,Path3,8
Cell358_2,Path2,7
Cell359_2,Path5,10
Cell360_2,Path1,6
Cell361_2,Path5,10
Cell362_2,Path5,10
Cell363_2,Path2,7
Cell364_2,Path3,8
Cell365_2,Path4,9
Cell366_2,Path5,10
Cell367_2,Path2,7
Cell368_2,Path2,7
Cell369_2,Path1,6
Cell370_2,Path4,9
Cell371_2,Path1,6
Cell372_2,Path5,10
Cell373_2,Path2,7
Cell374_2,Path2,7
Cell375_2,Path2,7
Cell376_2,Path4,9
Cell377_2,Path4,9
Cell378_2,Path1,6
Cell379_2,Path2,7
Cell380_2,Path5,10
Cell381_2,Path1,6
Cell382_2,Path5,10
Cell383_2,Path5,10
Cell384_2,Path2,7
Cell385_2,Path3,8
Cell386_2,Path3,8
Cell387_2,Path5,10
Cell388_2,Path3,8
Cell389_2,Path5,10
Cell390_2,Path4,9
Cell391_2,Path5,10
Cell392_2,Path1,6
Cell393_2,Path5,10
Cell394_2,Path4,9
Cell395_2,Path5,10
Cell396_2,Path4,9
Cell397_2,Path3,8
Cell398_2,Path2,7
Cell399_2,Path4,9
Cell400_2,Path1,6
Cell401_2,Path3,8
Cell402_2,Path3,8
Cell403_2,Path5,10
Cell404_2,Path3,8
Cell405_2,Path3,8
Cell406_2,Path1,6
Cell407_2,Path4,9
Cell408_2,Path5,10
Cell409_2,Path3,8
Cell410_2,Path1,6
Cell411_2,Path4,9
Cell412_2,Path4,9
Cell413_2,Path5,10
Cell414_2,Path1,6
Cell415_2,Path2,7
Cell416_2,Path2,7
Cell417_2,Path1,6
Cell418_2,Path2,7
Cell419_2,Path2,7
Cell420_2,Path5,10
Cell421_2,Path2,7
Cell422_2,Path2,7
Cell423_2,Path3,8
Cell424_2,Path5,10
Cell425_2,Path4,9
Cell426_2,Path2,7
Cell427_2,Path3,8
Cell428_2,Path3,8
Cell429_2,Path2,7
Cell430_2,Path1,6
Cell431_2,Path1,6
Cell432_2,Path5,10
Cell433_2,Path2,7
Cell434_2,Path4,9
Cell435_2,Path2,7
Cell436_2,Path5,10
Cell437_2,Path1,6
Cell438_2,Path1,6
Cell439_2,Path1,6
Cell440_2,Path3,8
Cell441_2,Path2,7
Cell442_2,Path3,8
Cell443_2,Path2,7
Cell444_2,Path4,9
Cell445_2,Path5,10
Cell446_2,Path3,8
Cell447_2,Path2,7
Cell448_2,Path4,9
Cell449_2,Path2,7
Cell450_2,Path1,6
Cell451_2,Path3,8
Cell452_2,Path3,8
Cell453_2,Path1,6
Cell454_2,Path2,7
Cell455_2,Path2,7
Cell456_2,Path2,7
Cell457_2,Path3,8
Cell458_2,Path1,6
Cell459_2,Path4,9
Cell460_2,Path1,6
Cell461_2,Path3,8
Cell462_2,Path1,6
Cell463_2,Path2,7
Cell464_2,Path5,10
Cell465_2,Path2,7
Cell466_2,Path4,9
Cell467_2,Path5,10
Cell468_2,Path2,7
Cell469_2,Path1,6
Cell470_2,Path5,10
Cell471_2,Path4,9
Cell472_2,Path3,8
Cell473_2,Path3,8
Cell474_2,Path1,6
Cell475_2,Path4,9
Cell476_2,Path3,8
Cell477_2,Path3,8
Cell478_2,Path3,8
Cell479_2,Path3,8
Cell480_2,Path4,9
Cell481_2,Path2,7
Cell482_2,Path4,9
Cell483_2,Path2,7
Cell484_2,Path2,7
Cell485_2,Path2,7
Cell486_2,Path4,9
Cell487_2,Path3,8
Cell488_2,Path2,7
Cell489_2,Path4,9
Cell490_2,Path5,10
Cell491_2,Path5,10
Cell492_2,Path1,6
Cell493_2,Path3,8
Cell494_2,Path4,9
Cell495_2,Path2,7
Cell496_2,Path1,6
Cell497_2,Path1,6
Cell498_2,Path4,9
Cell499_2,Path5,10
Cell500_2,Path4,9
Cell501_2,Path4,9
Cell502_2,Path3,8
Cell503_2,Path2,7
Cell504_2,Path1,6
Cell505_2,Path4,9
Cell506_2,Path3,8
Cell507_2,Path1,6
Cell508_2,Path2,7
Cell509_2,Path3,8
Cell510_2,Path2,7
Cell511_2,Path5,10
Cell512_2,Path2,7
Cell513_2,Path5,10
Cell514_2,Path2,7
Cell515_2,Path1,6
Cell516_2,Path1,6
Cell517_2,Path1,6
Cell518_2,Path5,10
Cell519_2,Path1,6
Cell520_2,Path4,9
Cell521_2,Path3,8
Cell522_2,Path2,7
Cell523_2,Path1,6
Cell524_2,Path2,7
Cell525_2,Path3,8
Cell526_2,Path2,7
Cell527_2,Path2,7
Cell528_2,Path5,10
Cell529_2,Path5,10
Cell530_2,Path2,7
Cell531_2,Path4,9
Cell532_2,Path1,6
Cell533_2,Path2,7
Cell534_2,Path1,6
Cell535_2,Path5,10
Cell536_2,Path1,6
Cell537_2,Path2,7
Cell538_2,Path3,8
Cell539_2,Path4,9
Cell540_2,Path1,6
Cell541_2,Path2,7
Cell542_2,Path4,9
Cell543_2,Path3,8
Cell544_2,Path1,6
Cell545_2,Path3,8
Cell546_2,Path4,9
Cell547_2,Path4,9
Cell548_2,Path4,9
Cell549_2,Path5,10
Cell550_2,Path4,9
Cell551_2,Path1,6
Cell552_2,Path3,8
Cell553_2,Path1,6
Cell554_2,Path4,9
Cell555_2,Path4,9
Cell556_2,Path2,7
Cell557_2,Path1,6
Cell558_2,Path5,10
Cell559_2,Path1,6
Cell560_2,Path1,6
Cell561_2,Path4,9
Cell562_2,Path3,8
Cell563_2,Path4,9
Cell564_2,Path2,7
Cell565_2,Path3,8
Cell566_2,Path2,7
Cell567_2,Path3,8
Cell568_2,Path5,10
Cell569_2,Path1,6
Cell570_2,Path5,10
Cell571_2,Path1,6
Cell572_2,Path2,7
Cell573_2,Path3,8
Cell574_2,Path2,7
Cell575_2,Path1,6
Cell576_2,Path5,10
Cell577_2,Path2,7
Cell578_2,Path1,6
Cell579_2,Path4,9
Cell580_2,Path1,6
Cell581_2,Path5,10
Cell582_2,Path4,9
Cell583_2,Path5,10
Cell584_2,Path1,6
Cell585_2,Path5,10
Cell586_2,Path4,9
Cell587_2,Path3,8
Cell588_2,Path3,8
Cell589_2,Path1,6
Cell590_2,Path2,7
Cell591_2,Path5,10
Cell592_2,Path4,9
Cell593_2,Path1,6
Cell594_2,Path2,7
Cell595_2,Path1,6
Cell596_2,Path2,7
Cell597_2,Path4,9
Cell598_2,Path3,8
Cell599_2,Path3,8
Cell600_2,Path4,9
Cell601_2,Path1,6
Cell602_2,Path3,8
Cell603_2,Path3,8
Cell604_2,Path5,10
Cell605_2,Path1,6
Cell606_2,Path4,9
Cell607_2,Path2,7
Cell608_2,Path5,10
Cell609_2,Path1,6
Cell610_2,Path1,6
Cell611_2,Path4,9
Cell612_2,Path1,6
Cell613_2,Path4,9
Cell614_2,Path5,10
Cell615_2,Path1,6
Cell616_2,Path4,9
Cell617_2,Path2,7
Cell618_2,Path3,8
Cell619_2,Path2,7
Cell620_2,Path2,7
Cell621_2,Path1,6
Cell622_2,Path3,8
Cell623_2,Path2,7
Cell624_2,Path5,10
Cell625_2,Path2,7
Cell626_2,Path2,7
Cell627_2,Path5,10
Cell628_2,Path4,9
Cell629_2,Path3,8
Cell630_2,Path3,8
Cell631_2,Path4,9
Cell632_2,Path5,10
Cell633_2,Path4,9
Cell634_2,Path2,7
Cell635_2,Path3,8
Cell636_2,Path2,7
Cell637_2,Path3,8
Cell638_2,Path3,8
Cell639_2,Path1,6
Cell640_2,Path1,6
Cell641_2,Path1,6
Cell642_2,Path1,6
Cell643_2,Path5,10
Cell644_2,Path4,9
Cell645_2,Path4,9
Cell646_2,Path4,9
Cell647_2,Path3,8
Cell648_2,Path1,6
Cell649_2,Path1,6
Cell650_2,Path4,9
Cell651_2,Path4,9
Cell652_2,Path5,10
Cell653_2,Path5,10
Cell654_2,Path4,9
Cell655_2,Path2,7
Cell656_2,Path5,10
Cell657_2,Path4,9
Cell658_2,Path2,7
Cell659_2,Path3,8
Cell660_2,Path2,7
Cell661_2,Path1,6
Cell662_2,Path1,6
Cell663_2,Path3,8
Cell664_2,Path2,7
Cell665_2,Path1,6
Cell666_2,Path2,7
Cell667_2,Path5,10
Cell668_2,Path4,9
Cell669_2,Path5,10
Cell670_2,Path2,7
Cell671_2,Path4,9
Cell672_2,Path5,10
Cell673_2,Path2,7
Cell674_2,Path3,8
Cell675_2,Path5,10
Cell676_2,Path3,8
Cell677_2,Path5,10
Cell678_2,Path1,6
Cell679_2,Path4,9
Cell680_2,Path2,7
Cell681_2,Path2,7
Cell682_2,Path3,8
Cell683_2,Path5,10
Cell684_2,Path4,9
Cell685_2,Path3,8
Cell686_2,Path2,7
Cell687_2,Path1,6
Cell688_2,Path2,7
Cell689_2,Path1,6
Cell690_2,Path4,9
Cell691_2,Path2,7
Cell692_2,Path3,8
Cell693_2,Path3,8
Cell694_2,Path5,10
Cell695_2,Path2,7
Cell696_2,Path3,8
Cell697_2,Path4,9
Cell698_2,Path3,8
Cell699_2,Path2,7
Cell700_2,Path5,10
Cell701_2,Path4,9
Cell702_2,Path5,10
Cell703_2,Path2,7
Cell704_2,Path3,8
Cell705_2,Path4,9
Cell706_2,Path4,9
Cell707_2,Path3,8
Cell708_2,Path4,9
Cell709_2,Path2,7
Cell710_2,Path5,10
Cell711_2,Path2,7
Cell712_2,Path4,9
Cell713_2,Path3,8
Cell714_2,Path4,9
Cell715_2,Path1,6
Cell716_2,Path4,9
Cell717_2,Path3,8
Cell718_2,Path1,6
Cell719_2,Path2,7
Cell720_2,Path4,9
Cell721_2,Path4,9
Cell722_2,Path2,7
Cell723_2,Path4,9
Cell724_2,Path2,7
Cell725_2,Path4,9
Cell726_2,Path3,8
Cell727_2,Path1,6
Cell728_2,Path3,8
Cell729_2,Path3,8
Cell730_2,Path1,6
Cell731_2,Path4,9
Cell732_2,Path1,6
Cell733_2,Path5,10
Cell734_2,Path3,8
Cell735_2,Path5,10
Cell736_2,Path2,7
Cell737_2,Path3,8
Cell738_2,Path3,8
Cell739_2,Path5,10
Cell740_2,Path4,9
Cell741_2,Path2,7
Cell742_2,Path4,9
Cell743_2,Path4,9
Cell744_2,Path4,9
Cell745_2,Path4,9
Cell746_2,Path1,6
Cell747_2,Path5,10
Cell748_2,Path4,9
Cell749_2,Path3,8
Cell750_2,Path2,7
Cell751_2,Path4,9
Cell752_2,Path4,9
Cell753_2,Path3,8
Cell754_2,Path5,10
Cell755_2,Path1,6
Cell756_2,Path3,8
Cell757_2,Path5,10
Cell758_2,Path3,8
Cell759_2,Path4,9
Cell760_2,Path2,7
Cell761_2,Path3,8
Cell762_2,Path1,6
Cell763_2,Path4,9
Cell764_2,Path5,10
Cell765_2,Path5,10
Cell766_2,Path3,8
Cell767_2,Path3,8
Cell768_2,Path1,6
Cell769_2,Path1,6
Cell770_2,Path1,6
Cell771_2,Path5,10
Cell772_2,Path4,9
Cell773_2,Path2,7
Cell774_2,Path3,8
Cell775_2,Path1,6
Cell776_2,Path4,9
Cell777_2,Path4,9
Cell778_2,Path5,10
Cell779_2,Path3,8
Cell780_2,Path3,8
Cell781_2,Path4,9
Cell782_2,Path5,10
Cell783_2,Path4,9
Cell784_2,Path3,8
Cell785_2,Path1,6
Cell786_2,Path4,9
Cell787_2,Path5,10
Cell788_2,Path1,6
Cell789_2,Path2,7
Cell790_2,Path3,8
Cell791_2,Path4,9
Cell792_2,Path1,6
Cell793_2,Path3,8
Cell794_2,Path5,10
Cell795_2,Path1,6
Cell796_2,Path5,10
Cell797_2,Path3,8
Cell798_2,Path4,9
Cell799_2,Path3,8
Cell800_2,Path4,9
Cell801_2,Path1,6
Cell802_2,Path1,6
Cell803_2,Path1,6
Cell804_2,Path3,8
Cell805_2,Path3,8
Cell806_2,Path2,7
Cell807_2,Path1,6
Cell808_2,Path4,9
Cell809_2,Path1,6
Cell810_2,Path4,9
Cell811_2,Path2,7
Cell812_2,Path4,9
Cell813_2,Path5,10
Cell814_2,Path1,6
Cell815_2,Path1,6
Cell816_2,Path3,8
Cell817_2,Path5,10
Cell818_2,Path5,10
Cell819_2,Path3,8
Cell820_2,Path3,8
Cell821_2,Path2,7
Cell822_2,Path2,7
Cell823_2,Path3,8
Cell824_2,Path1,6
Cell825_2,Path4,9
Cell826_2,Path1,6
Cell827_2,Path5,10
Cell828_2,Path3,8
Cell829_2,Path1,6
Cell830_2,Path1,6
Cell831_2,Path1,6
Cell832_2,Path2,7
Cell833_2,Path5,10
Cell834_2,Path3,8
Cell835_2,Path2,7
Cell836_2,Path5,10
Cell837_2,Path5,10
Cell838_2,Path2,7
Cell839_2,Path3,8
Cell840_2,Path5,10
Cell841_2,Path4,9
Cell842_2,Path2,7
Cell843_2,Path3,8
Cell844_2,Path1,6
Cell845_2,Path5,10
Cell846_2,Path1,6
Cell847_2,Path3,8
Cell848_2,Path3,8
Cell849_2,Path2,7
Cell850_2,Path3,8
Cell851_2,Path1,6
Cell852_2,Path2,7
Cell853_2,Path5,10
Cell854_2,Path3,8
Cell855_2,Path4,9
Cell856_2,Path5,10
Cell857_2,Path4,9
Cell858_2,Path4,9
Cell859_2,Path1,6
Cell860_2,Path1,6
Cell861_2,Path4,9
Cell862_2,Path3,8
Cell863_2,Path1,6
Cell864_2,Path3,8
Cell865_2,Path4,9
Cell866_2,Path5,10
Cell867_2,Path4,9
Cell868_2,Path2,7
Cell869_2,Path3,8
Cell870_2,Path2,7
Cell871_2,Path4,9
Cell872_2,Path4,9
Cell873_2,Path3,8
Cell874_2,Path2,7
Cell875_2,Path4,9
Cell876_2,Path2,7
Cell877_2,Path1,6
Cell878_2,Path2,7
Cell879_2,Path5,10
Cell880_2,Path4,9
Cell881_2,Path4,9
Cell882_2,Path2,7
Cell883_2,Path5,10
Cell884_2,Path2,7
Cell885_2,Path3,8
Cell886_2,Path5,10
Cell887_2,Path5,10
Cell888_2,Path1,6
Cell889_2,Path2,7
Cell890_2,Path2,7
Cell891_2,Path1,6
Cell892_2,Path2,7
Cell893_2,Path4,9
Cell894_2,Path5,10
Cell895_2,Path2,7
Cell896_2,Path1,6
Cell897_2,Path5,10
Cell898_2,Path3,8
Cell899_2,Path5,10
Cell900_2,Path4,9
Cell901_2,Path2,7
Cell902_2,Path1,6
Cell903_2,Path2,7
Cell904_2,Path5,10
Cell905_2,Path2,7
Cell906_2,Path1,6
Cell907_2,Path5,10
Cell908_2,Path1,6
Cell909_2,Path1,6
Cell910_2,Path4,9
Cell911_2,Path5,10
Cell912_2,Path4,9
Cell913_2,Path4,9
Cell914_2,Path2,7
Cell915_2,Path1,6
Cell916_2,Path2,7
Cell917_2,Path3,8
Cell918_2,Path3,8
Cell919_2,Path5,10
Cell920_2,Path4,9
Cell921_2,Path1,6
Cell922_2,Path1,6
Cell923_2,Path1,6
Cell924_2,Path2,7
Cell925_2,Path4,9
Cell926_2,Path2,7
Cell927_2,Path3,8
Cell928_2,Path4,9
Cell929_2,Path2,7
Cell930_2,Path5,10
Cell931_2,Path4,9
Cell932_2,Path2,7
Cell933_2,Path4,9
Cell934_2,Path5,10
Cell935_2,Path5,10
Cell936_2,Path5,10
Cell937_2,Path2,7
Cell938_2,Path5,10
Cell939_2,Path1,6
Cell940_2,Path5,10
Cell941_2,Path2,7
Cell942_2,Path1,6
Cell943_2,Path1,6
Cell944_2,Path5,10
